"Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","Hour","Day"
"2015-00031686",2015-06-02 08:19:00,"UNIVERSITY AVE / MARINA BLVD","1194","",1,"AF4ICN","Asian","Female","40+","Investigation","Citation","No Search",8,"3"
"2015-00031695",2015-06-02 08:57:00,"EIGHTH ST / ALLSTON WAY","T","",1,"OF4TCN","Other","Female","40+","Traffic","Citation","No Search",8,"3"
"2015-00031696",2015-06-02 09:05:00,"NINTH ST / ALLSTON WAY","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",9,"3"
"2015-00031700",2015-06-02 09:30:00,"UNIVERSITY AVE / NINTH ST","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",9,"3"
"2015-00031705",2015-06-02 10:00:00,"1200 BLOCK CEDAR ST","T","",1,"WM3TCN","White","Male","30-39","Traffic","Citation","No Search",10,"3"
"2015-00031709",2015-06-02 10:14:00,"SACRAMENTO ST / DELAWARE ST","T","",1,"BF3TCS","Black","Female","30-39","Traffic","Citation","Search",10,"3"
"2015-00031718",2015-06-02 11:00:00,"1400 BLOCK WARD ST","T","",1,"BF4TCS","Black","Female","40+","Traffic","Citation","Search",11,"3"
"2015-00031743",2015-06-02 13:11:00,"DWIGHT WAY / TENTH ST","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",13,"3"
"2015-00031751",2015-06-02 13:25:00,"SAN PABLO AVE / BURNETT ST","T","",1,"HM4TCN","Hispanic","Male","40+","Traffic","Citation","No Search",13,"3"
"2015-00031759",2015-06-02 13:41:00,"1600 BLOCK ASHBY AVE","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",13,"3"
"2015-00031767",2015-06-02 14:06:00,"2600 BLOCK TELEGRAPH AVE","1194","",1,"WM3RCN","White","Male","30-39","Probation/ Paroleeasonable Suspicion","Citation","No Search",14,"3"
"2015-00031774",2015-06-02 14:53:00,"M L KING JR WAY / 59TH ST","T","",1,"BF4TWN","Black","Female","40+","Traffic","Warning","No Search",14,"3"
"2015-00031775",2015-06-02 14:53:00,"37.8609962420001~-122.256143699","1194","",1,"WM2RWN","White","Male","18-29","Probation/ Paroleeasonable Suspicion","Warning","No Search",14,"3"
"2015-00031776",2015-06-02 14:54:00,"37.8609962420001~-122.256143699","1194","",1,"WM3RCN","White","Male","30-39","Probation/ Paroleeasonable Suspicion","Citation","No Search",14,"3"
"2015-00031778",2015-06-02 15:00:00,"1800 BLOCK HARMON ST","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",15,"3"
"2015-00031783",2015-06-02 15:50:00,"ASHBY AVE / SEVENTH ST","T","",1,"BM4TCN","Black","Male","40+","Traffic","Citation","No Search",15,"3"
"2015-00031784",2015-06-02 15:51:00,"UNIVERSITY AVE / SEAWALL DR","1196","",1,"BM4IWS","Black","Male","40+","Investigation","Warning","Search",15,"3"
"2015-00031784",2015-06-02 15:51:00,"UNIVERSITY AVE / SEAWALL DR","1196","",2,"BM2IWS","Black","Male","18-29","Investigation","Warning","Search",15,"3"
"2015-00031790",2015-06-02 16:08:00,"ASHBY AVE / SEVENTH ST","T","",1,"WM2TCN","White","Male","18-29","Traffic","Citation","No Search",16,"3"
"2015-00031794",2015-06-02 16:23:00,"CARLETON ST / M L KING JR WAY","T","",1,"WM4TWN","White","Male","40+","Traffic","Warning","No Search",16,"3"
