"Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","Hour","Day"
"2015-00031031",2015-05-29 17:39:00,"HARMON ST / ADELINE ST","1194","",1,"BM4IWN","Black","Male","40+","Investigation","Warning","No Search",17,"6"
"2015-00031043",2015-05-29 18:47:00,"DURANT AVE / DANA ST","T","",1,"WF4TWN","White","Female","40+","Traffic","Warning","No Search",18,"6"
"2015-00031044",2015-05-29 18:48:00,"DELAWARE ST / SAN PABLO AVE","1194","",1,"BM4IWN","Black","Male","40+","Investigation","Warning","No Search",18,"6"
"2015-00031053",2015-05-29 19:25:00,"37.863134544~-122.314489931","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",19,"6"
"2015-00031057",2015-05-29 19:40:00,"ASHBY AVE / M L KING JR WAY","T","",1,"AM2TWN","Asian","Male","18-29","Traffic","Warning","No Search",19,"6"
"2015-00031058",2015-05-29 19:43:00,"WOOLSEY ST / M L KING JR WAY","T","",1,"WM3TCN","White","Male","30-39","Traffic","Citation","No Search",19,"6"
"2015-00031065",2015-05-29 20:12:00,"ADDISON ST / GRANT ST","T","",1,"HM2TWN","Hispanic","Male","18-29","Traffic","Warning","No Search",20,"6"
"2015-00031070",2015-05-29 20:59:00,"60/MLK","T","",1,"AM4TWN","Asian","Male","40+","Traffic","Warning","No Search",20,"6"
"2015-00031072",2015-05-29 21:10:00,"SAN PABLO AVE / FRANCISCO ST","1196","",1,"WM3TWN","White","Male","30-39","Traffic","Warning","No Search",21,"6"
"2015-00031087",2015-05-29 22:17:00,"RUSSELL ST / SHATTUCK AVE","T","",1,"BF2TWN","Black","Female","18-29","Traffic","Warning","No Search",22,"6"
"2015-00031090",2015-05-29 22:31:00,"SAN PABLO AVE / HARRISON ST","T","",1,"HM3TWS","Hispanic","Male","30-39","Traffic","Warning","Search",22,"6"
"2015-00031093",2015-05-29 23:03:00,"DELAWARE ST / SAN PABLO AVE","T","",1,"BM4TCN","Black","Male","40+","Traffic","Citation","No Search",23,"6"
"2015-00031095",2015-05-29 23:07:00,"37.8661036188751~-122.305688135031","1196","",1,"WF3RWN","White","Female","30-39","Probation/ Paroleeasonable Suspicion","Warning","No Search",23,"6"
"2015-00031107",2015-05-30 00:09:00,"66TH ST/HOLLIS ST","T","",1,"AF3TWN","Asian","Female","30-39","Traffic","Warning","No Search",0,"7"
"2015-00031111",2015-05-30 00:22:00,"3300 BLOCK ADELINE ST","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",0,"7"
"2015-00031112",2015-05-30 00:27:00,"RUSSELL ST / M L KING JR WAY","T","",1,"AF4TWN","Asian","Female","40+","Traffic","Warning","No Search",0,"7"
"2015-00031115",2015-05-30 00:43:00,"SHATTUCK AVE / BANCROFT WAY","T","",1,"HM2TWN","Hispanic","Male","18-29","Traffic","Warning","No Search",0,"7"
"2015-00031116",2015-05-30 00:53:00,"37.8529197501924~-122.269964122886","1194","",1,"AM2TWN","Asian","Male","18-29","Traffic","Warning","No Search",0,"7"
"2015-00031120",2015-05-30 01:09:00,"37.8529197501924~-122.269964122886","1194","",1,"WM4TWS","White","Male","40+","Traffic","Warning","Search",1,"7"
"2015-00031122",2015-05-30 01:40:00,"SHATTUCK AVE / CARLETON ST","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",1,"7"
"2015-00031125",2015-05-30 02:11:00,"PIEDMONT AVE / BANCROFT WAY","T","",1,"OM4TWN","Other","Male","40+","Traffic","Warning","No Search",2,"7"
"2015-00031127",2015-05-30 02:16:00,"SHATTUCK AVE / BLAKE ST","T","",1,"WF4TWN","White","Female","40+","Traffic","Warning","No Search",2,"7"
"2015-00031130",2015-05-30 02:33:00,"SIXTH ST / VIRGINIA ST","1194B","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",2,"7"
"2015-00031143",2015-05-30 06:44:00,"SHATTUCK AVE / KITTREDGE ST","T","",1,"BM4ICN","Black","Male","40+","Investigation","Citation","No Search",6,"7"
"2015-00031145",2015-05-30 07:45:00,"MILVIA ST / DERBY ST","1196","",1,"BM3WCN","Black","Male","30-39","Wanted","Citation","No Search",7,"7"
"2015-00031215",2015-05-30 15:49:00,"2100 BLOCK SHATTUCK AVE","1194","",1,"BM2RCN","Black","Male","18-29","Probation/ Paroleeasonable Suspicion","Citation","No Search",15,"7"
"2015-00031216",2015-05-30 15:50:00,"MARKET ST / ARLINGTON AVE","T","",1,"WM3TWN","White","Male","30-39","Traffic","Warning","No Search",15,"7"
"2015-00031221",2015-05-30 16:10:00,"BANCROFT WAY / TELEGRAPH AVE","T","",1,"WM2TWS","White","Male","18-29","Traffic","Warning","Search",16,"7"
"2015-00031222",2015-05-30 16:11:00,"SACRAMENTO ST / CEDAR ST","T","",1,"OM4TCN","Other","Male","40+","Traffic","Citation","No Search",16,"7"
"2015-00031228",2015-05-30 16:24:00,"BANCROFT WAY / TELEGRAPH AVE","1194","",1,"BM4RWN","Black","Male","40+","Probation/ Paroleeasonable Suspicion","Warning","No Search",16,"7"
"2015-00031229",2015-05-30 16:26:00,"ADELINE ST / EMERSON ST","T","",1,"BM4TCN","Black","Male","40+","Traffic","Citation","No Search",16,"7"
"2015-00031230",2015-05-30 16:27:00,"SHATTUCK AVE / LINCOLN ST","T","",1,"WM3TCN","White","Male","30-39","Traffic","Citation","No Search",16,"7"
"2015-00031237",2015-05-30 17:12:00,"BANCROFT WAY / FULTON ST","T","",1,"OF3IWN","Other","Female","30-39","Investigation","Warning","No Search",17,"7"
"2015-00031238",2015-05-30 17:20:00,"BANCROFT WAY / FULTON ST","T","",1,"WM2TWN","White","Male","18-29","Traffic","Warning","No Search",17,"7"
"2015-00031254",2015-05-30 18:52:00,"UNIVERSITY AVE / SACRAMENTO ST","T","",1,"OF3TWN","Other","Female","30-39","Traffic","Warning","No Search",18,"7"
"2015-00031256",2015-05-30 19:02:00,"2100 BLOCK MILVIA ST","1194","MH",1,"WM4IWN","White","Male","40+","Investigation","Warning","No Search",19,"7"
"2015-00031258",2015-05-30 19:07:00,"ASHBY AVE / DOHR ST","T","",1,"OF3TCN","Other","Female","30-39","Traffic","Citation","No Search",19,"7"
"2015-00031260",2015-05-30 19:13:00,"ALLSTON WAY / EIGHTH ST","T","",1,"WF2TCN","White","Female","18-29","Traffic","Citation","No Search",19,"7"
"2015-00031271",2015-05-30 20:21:00,"SAN PABLO AVE / UNIVERSITY AVE","1194","",1,"WM3RCS","White","Male","30-39","Probation/ Paroleeasonable Suspicion","Citation","Search",20,"7"
"2015-00031278",2015-05-30 21:28:00,"SACRAMENTO ST / BANCROFT WAY","T","",1,"WM3TWN","White","Male","30-39","Traffic","Warning","No Search",21,"7"
"2015-00031280",2015-05-30 21:32:00,"SACRAMENTO ST / WARD ST","T","",1,"HM1TWN","Hispanic","Male","0-18","Traffic","Warning","No Search",21,"7"
"2015-00031281",2015-05-30 21:33:00,"TELEGRAPH AVE / STUART ST","T","",1,"HM2TCS","Hispanic","Male","18-29","Traffic","Citation","Search",21,"7"
"2015-00031282",2015-05-30 21:35:00,"2200 BLOCK SHATTUCK AVE","1194","",1,"WF2RCN","White","Female","18-29","Probation/ Paroleeasonable Suspicion","Citation","No Search",21,"7"
"2015-00031282",2015-05-30 21:35:00,"2200 BLOCK SHATTUCK AVE","1194","",2,"WM2RCN","White","Male","18-29","Probation/ Paroleeasonable Suspicion","Citation","No Search",21,"7"
"2015-00031293",2015-05-30 23:05:00,"DWIGHT WAY / SHATTUCK AVE","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",23,"7"
"2015-00031295",2015-05-30 23:12:00,"SAN PABLO AVE / UNIVERSITY AVE","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",23,"7"
"2015-00031296",2015-05-30 23:15:00,"SHATTUCK AVE / CARLETON ST","T","",1,"BM2TWS","Black","Male","18-29","Traffic","Warning","Search",23,"7"
"2015-00031311",2015-05-31 01:26:00,"COLLEGE AVE / WOOLSEY ST","T","",1,"HF2TCN","Hispanic","Female","18-29","Traffic","Citation","No Search",1,"1"
"2015-00031318",2015-05-31 02:25:00,"SHATTUCK AVE / DWIGHT WAY","T","",1,"WM2TCN","White","Male","18-29","Traffic","Citation","No Search",2,"1"
"2015-00031330",2015-05-31 05:00:00,"SIXTH ST / ADDISON ST","1194","",1,"HM3TWN","Hispanic","Male","30-39","Traffic","Warning","No Search",5,"1"
"2015-00031335",2015-05-31 08:02:00,"GILMAN ST / ACTON ST","T","",1,"OM3TCN","Other","Male","30-39","Traffic","Citation","No Search",8,"1"
"2015-00031350",2015-05-31 09:51:00,"SAN PABLO AVE / FOLGER AVE","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",9,"1"
"2015-00031402",2015-05-31 15:13:00,"ALLSTON WAY / SHATTUCK AVE","1194","",1,"BM3RCS","Black","Male","30-39","Probation/ Paroleeasonable Suspicion","Citation","Search",15,"1"
"2015-00031415",2015-05-31 16:23:00,"CENTER ST / SHATTUCK AVE","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",16,"1"
"2015-00031418",2015-05-31 16:42:00,"REGENT ST / DWIGHT WAY","1194","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",16,"1"
"2015-00031428",2015-05-31 18:18:00,"2200 BLOCK SHATTUCK AVE","1194","",1,"WM2RWS","White","Male","18-29","Probation/ Paroleeasonable Suspicion","Warning","Search",18,"1"
"2015-00031449",2015-05-31 20:43:00,"CALIFORNIA ST / RUSSELL ST","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",20,"1"
"2015-00031453",2015-05-31 21:21:00,"SPINNAKER CIR","1196","",1,"WF4IWN","White","Female","40+","Investigation","Warning","No Search",21,"1"
"2015-00031456",2015-05-31 21:32:00,"W FRONTAGE RD / GILMAN ST","T","",1,"OM2TWN","Other","Male","18-29","Traffic","Warning","No Search",21,"1"
"2015-00031461",2015-05-31 21:54:00,"1300 BLOCK UNIVERSITY AVE","T","",1,"AF2TWN","Asian","Female","18-29","Traffic","Warning","No Search",21,"1"
"2015-00031467",2015-05-31 22:21:00,"ADELINE ST / FAIRVIEW ST","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",22,"1"
"2015-00031482",2015-06-01 01:30:00,"SHATTUCK AVE / DERBY ST","T","",1,"WF2TWN","White","Female","18-29","Traffic","Warning","No Search",1,"2"
"2015-00031495",2015-06-01 03:38:00,"SECOND ST / GILMAN ST","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",3,"2"
"2015-00031507",2015-06-01 08:14:00,"TELEGRAPH AVE / DWIGHT WAY","1194","FC",1,"OM2IWN","Other","Male","18-29","Investigation","Warning","No Search",8,"2"
"2015-00031508",2015-06-01 08:18:00,"TELEGRAPH AVE / HASTE ST","1194","FC",1,"WM2IWN","White","Male","18-29","Investigation","Warning","No Search",8,"2"
"2015-00031537",2015-06-01 12:21:00,"2200 BLOCK SHATTUCK AVE","1194","",1,"WF4WWN","White","Female","40+","Wanted","Warning","No Search",12,"2"
"2015-00031551",2015-06-01 13:35:00,"MCGEE AVE / ADA ST","T","",1,"WM3TWN","White","Male","30-39","Traffic","Warning","No Search",13,"2"
"2015-00031559",2015-06-01 14:24:00,"2200 BLOCK CHANNING WAY","T","",1,"WF3TWN","White","Female","30-39","Traffic","Warning","No Search",14,"2"
"2015-00031563",2015-06-01 14:59:00,"2300 BLOCK SHATTUCK AVE","1194","",1,"WM3WWN","White","Male","30-39","Wanted","Warning","No Search",14,"2"
"2015-00031568",2015-06-01 15:21:00,"COLUSA AVE / CAPISTRANO AVE","T","",1,"OM3TWN","Other","Male","30-39","Traffic","Warning","No Search",15,"2"
"2015-00031569",2015-06-01 15:39:00,"1500 BLOCK UNIVERSITY AVE","1194","",1,"WM4RCN","White","Male","40+","Probation/ Paroleeasonable Suspicion","Citation","No Search",15,"2"
"2015-00031584",2015-06-01 17:06:00,"CALIFORNIA ST / TYLER ST","1196","FC",1,"BM4RAS","Black","Male","40+","Probation/ Paroleeasonable Suspicion","Arrest","Search",17,"2"
"2015-00031584",2015-06-01 17:06:00,"CALIFORNIA ST / TYLER ST","1196","FC",2,"WM2WAS","White","Male","18-29","Wanted","Arrest","Search",17,"2"
"2015-00031623",2015-06-01 20:16:00,"BANCROFT WAY / FULTON ST","T","",1,"AF4TWN","Asian","Female","40+","Traffic","Warning","No Search",20,"2"
"2015-00031634",2015-06-01 21:22:00,"SHATTUCK AVE / HASTE ST","T","",1,"HM2TCN","Hispanic","Male","18-29","Traffic","Citation","No Search",21,"2"
"2015-00031636",2015-06-01 21:36:00,"DWIGHT WAY / TELEGRAPH AVE","1194","MH, M",1,"OM3IWN","Other","Male","30-39","Investigation","Warning","No Search",21,"2"
"2015-00031637",2015-06-01 21:51:00,"100 BLOCK SEAWALL DR","T","",1,"OM4TWN","Other","Male","40+","Traffic","Warning","No Search",21,"2"
"2015-00031643",2015-06-01 22:26:00,"STUART ST / SHATTUCK AVE","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",22,"2"
"2015-00031651",2015-06-01 23:18:00,"TELEGRAPH AVE / DERBY ST","T","",1,"OM2TCN","Other","Male","18-29","Traffic","Citation","No Search",23,"2"
"2015-00031663",2015-06-02 01:42:00,"SAN PABLO AVE / WARD ST","T","",1,"WF2TWN","White","Female","18-29","Traffic","Warning","No Search",1,"3"
"2015-00031664",2015-06-02 01:46:00,"2500 BLOCK BENVENUE AVE","T","",1,"OM2TWS","Other","Male","18-29","Traffic","Warning","Search",1,"3"
"2015-00031666",2015-06-02 02:04:00,"SHATTUCK AVE / DELAWARE ST","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",2,"3"
"2015-00031679",2015-06-02 06:24:00,"UNIVERSITY AVE / SAN PABLO AVE","1194","",1,"BM4IWN","Black","Male","40+","Investigation","Warning","No Search",6,"3"
